tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0871410	tvEpisode	Land of Wandering Souls	Land of Wandering Souls	0	2002	\N	\N	Documentary
tt0871411	tvEpisode	Media by Milosevic	Media by Milosevic	0	2002	\N	\N	Documentary
tt0871412	tvEpisode	Saddam's Ultimate Solution	Saddam's Ultimate Solution	0	2002	\N	\N	Documentary
tt0871413	tvEpisode	Soul of India	Soul of India	0	2002	\N	\N	Documentary
tt0871414	tvEpisode	The Empty ATM	The Empty ATM	0	2002	\N	\N	Documentary
tt0871415	tvEpisode	To Have and Have Not	To Have and Have Not	0	2002	\N	\N	Documentary
tt0871416	tvEpisode	Episode dated 27 September 2006	Episode dated 27 September 2006	0	2006	\N	\N	Documentary
tt0871417	tvEpisode	Manners	Manners	0	1984	\N	\N	Comedy,Family
tt0871418	tvEpisode	Media	Media	0	1983	\N	\N	Comedy,Family
tt0871419	tvEpisode	Pets	Pets	0	1983	\N	\N	Comedy,Family
tt0871420	tvEpisode	Romance and Dating	Romance and Dating	0	1985	\N	\N	Comedy,Family
tt0871421	tvEpisode	Rules and Regulations	Rules and Regulations	0	1983	\N	\N	Comedy,Family
tt0871424	video	The 2003 World Yo-Yo Championships	The 2003 World Yo-Yo Championships	0	2004	\N	\N	Documentary,Short
